ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data,ZIM Integrated Shipping Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,20.98,,0.0
2024-06-30,22.17,$-16.30,0.0
2024-03-31,10.12,$-21.17,0.0
2023-12-31,9.87,$-18.48,0.0
2023-09-30,10.45,$-7.59,0.0
2023-06-30,12.39,$22.38,0.55
2022-12-31,17.19,$38.36,0.45
2022-09-30,23.5,$49.09,0.48
2022-06-30,42.33,$51.59,0.82
2022-03-31,62.55,$47.90,1.31
2021-12-31,41.5,$33.21,1.25
2021-09-30,34.03,$24.17,1.41
