Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data,Brookfield Asset Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.05,,45.58
2024-06-30,37.98,$1.12,33.91
2024-03-31,41.94,$0.82,51.15
2023-12-31,40.02,$0.85,47.09
2023-03-31,32.46,$0.90,36.07
