Talos Energy PE Ratio Historical Data,Talos Energy PE Ratio Historical Data,Talos Energy PE Ratio Historical Data,Talos Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.75,,325.0
2024-06-30,12.15,$0.03,405.0
2024-03-31,13.93,$0.07,199.0
2023-12-31,14.23,$1.62,8.78
2023-09-30,16.44,$0.96,17.13
2023-06-30,13.87,$3.97,3.49
2023-03-31,14.84,$6.19,2.4
2022-12-31,18.88,$4.54,4.16
2022-09-30,16.65,$5.49,3.03
2022-06-30,15.47,$2.30,6.73
2022-03-31,15.79,$-1.57,0.0
2021-12-31,9.8,$-2.25,0.0
2021-09-30,13.77,$-8.96,0.0
2021-06-30,15.64,$-9.49,0.0
2021-03-31,12.04,$-10.09,0.0
2020-12-31,8.24,$-5.91,0.0
2020-09-30,6.45,$-0.17,0.0
2020-06-30,9.2,$1.91,4.82
2020-03-31,5.75,$5.79,0.99
2019-12-31,30.15,$1.08,27.92
2019-09-30,20.33,$6.73,3.02
2019-06-30,24.05,$5.62,4.28
2019-03-31,26.56,$2.50,10.62
