SoFi Technologies PE Ratio Historical Data,SoFi Technologies PE Ratio Historical Data,SoFi Technologies PE Ratio Historical Data,SoFi Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.87,,0.0
2024-06-30,6.61,$-0.24,0.0
2024-03-31,7.3,$-0.31,0.0
2023-12-31,9.95,$-0.38,0.0
2023-09-30,7.99,$-0.45,0.0
2023-06-30,8.34,$-0.25,0.0
2023-03-31,6.07,$-0.31,0.0
2022-12-31,4.61,$-0.40,0.0
2022-09-30,4.88,$-0.50,0.0
2022-06-30,5.27,$-0.46,0.0
2022-03-31,9.45,$-0.82,0.0
2021-12-31,15.81,$-0.68,0.0
2021-09-30,15.88,$-0.53,0.0
