Coeur Mining PE Ratio Historical Data,Coeur Mining PE Ratio Historical Data,Coeur Mining PE Ratio Historical Data,Coeur Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.48,,0.0
2024-06-30,5.62,$-0.21,0.0
2024-03-31,3.77,$-0.31,0.0
2023-12-31,3.26,$-0.31,0.0
2023-09-30,2.22,$-0.07,0.0
2023-06-30,2.84,$-0.22,0.0
2023-03-31,3.99,$-0.40,0.0
2022-12-31,3.36,$-0.36,0.0
2022-09-30,3.42,$-0.74,0.0
2022-06-30,3.04,$-0.40,0.0
2021-12-31,5.04,$-0.11,0.0
2021-09-30,6.17,$-0.02,0.0
2021-06-30,8.88,$0.22,40.36
2021-03-31,9.03,$0.20,45.15
2020-12-31,10.35,$0.18,57.5
2022-03-31,4.45,$0.08,55.63
2020-09-30,7.38,$-1.08,0.0
2020-06-30,5.08,$-1.25,0.0
2020-03-31,3.21,$-1.24,0.0
2019-12-31,8.08,$-1.48,0.0
2019-09-30,4.81,$-0.33,0.0
2018-12-31,4.47,$-0.26,0.0
2018-09-30,5.33,$-0.22,0.0
2018-06-30,7.6,$-0.02,0.0
2018-03-31,8.0,$-0.10,0.0
2017-12-31,7.5,$-0.01,0.0
2017-09-30,9.19,$-0.08,0.0
2017-06-30,8.58,$0.43,19.95
2017-03-31,8.08,$0.31,26.06
2016-12-31,9.09,$0.30,30.3
2016-09-30,11.83,$0.19,62.26
2019-06-30,4.34,$-2.51,0.0
2016-06-30,10.66,$-2.44,0.0
2016-03-31,5.62,$-2.65,0.0
2015-12-31,2.48,$-2.60,0.0
2015-09-30,2.82,$-0.64,0.0
2015-06-30,5.71,$-11.06,0.0
2019-03-31,4.08,$-10.91,0.0
2015-03-31,4.71,$-11.24,0.0
2014-12-31,5.11,$-11.28,0.0
2014-09-30,4.96,$-6.52,0.0
2014-06-30,9.18,$-7.01,0.0
2014-03-31,9.29,$-6.94,0.0
2013-12-31,10.85,$-6.44,0.0
2013-09-30,12.05,$-0.25,0.0
2013-06-30,13.3,$0.03,443.33
2013-03-31,18.86,$0.64,29.47
2012-12-31,24.6,$0.54,45.56
2012-09-30,28.83,$0.25,115.32
2012-06-30,17.56,$0.78,22.51
2012-03-31,23.74,$0.95,24.99
2011-12-31,24.14,$1.05,22.99
2011-09-30,21.44,$0.86,24.93
2011-06-30,24.26,$0.26,93.31
2011-03-31,34.78,$-0.74,0.0
2010-12-31,27.32,$-0.98,0.0
2010-09-30,19.92,$-0.92,0.0
2010-06-30,15.78,$-0.90,0.0
2010-03-31,14.98,$-0.16,0.0
2009-12-31,18.06,$0.04,451.5
