Doximity PE Ratio Historical Data,Doximity PE Ratio Historical Data,Doximity PE Ratio Historical Data,Doximity PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.86,,53.58
2024-06-30,27.97,$0.80,34.96
2024-03-31,26.91,$0.72,37.38
2023-12-31,28.04,$0.66,42.48
2023-09-30,21.22,$0.58,36.59
2023-06-30,34.02,$0.55,61.85
2023-03-31,32.38,$0.52,62.27
2022-12-31,33.56,$0.55,61.02
2022-09-30,30.22,$0.65,46.49
2022-06-30,34.82,$0.70,49.74
2022-03-31,52.09,$0.69,75.49
