Rio Tinto PE Ratio Historical Data,Rio Tinto PE Ratio Historical Data,Rio Tinto PE Ratio Historical Data,Rio Tinto PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,65.09,,inf
2024-06-30,64.08,0,0.0
2023-12-31,69.55,0,0.0
2023-06-30,57.96,0,0.0
2022-12-31,62.58,0,0.0
2022-06-30,51.33,0,0.0
2021-12-31,52.94,0,0.0
2021-06-30,61.95,0,0.0
2020-12-31,52.95,0,0.0
2020-06-30,38.59,0,0.0
2019-12-31,38.83,0,0.0
2019-06-30,39.14,0,0.0
2018-12-31,28.26,0,0.0
2018-06-30,31.54,0,0.0
2017-12-31,29.09,0,0.0
2017-06-30,22.71,0,0.0
2016-12-31,20.07,0,0.0
2015-12-31,14.39,0,0.0
2015-06-30,19.84,0,0.0
2014-12-31,21.63,0,0.0
2014-06-30,25.08,0,0.0
2013-12-31,25.57,0,0.0
2013-06-30,18.3,0,0.0
2012-12-31,24.97,0,0.0
2012-06-30,20.24,0,0.0
2011-12-31,20.38,0,0.0
2011-06-30,29.84,0,0.0
2010-12-31,29.31,0,0.0
2010-06-30,17.68,$3.12,5.67
