CMB.TECH Nv PE Ratio Historical Data,CMB.TECH Nv PE Ratio Historical Data,CMB.TECH Nv PE Ratio Historical Data,CMB.TECH Nv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.17,,4.86
2024-06-30,16.21,$3.33,4.87
2024-03-31,15.27,$3.12,4.89
2023-12-31,16.15,$0.31,52.1
2023-03-31,13.56,$1.36,9.97
2022-03-31,8.54,$0.58,14.72
2021-03-31,7.39,$0.54,13.68
2020-03-31,8.02,$1.11,7.22
2019-03-31,5.79,$0.78,7.43
2018-03-31,5.75,$1.35,4.26
2017-03-31,5.5,$2.06,2.67
2016-03-31,6.59,$2.43,2.71
2015-12-31,8.82,$2.25,3.92
