Opendoor Technologies PE Ratio Historical Data,Opendoor Technologies PE Ratio Historical Data,Opendoor Technologies PE Ratio Historical Data,Opendoor Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.82,,0.0
2024-06-30,1.84,$-0.59,0.0
2024-03-31,3.03,$-0.43,0.0
2023-12-31,4.48,$-0.43,0.0
2023-09-30,2.64,$-0.92,0.0
2023-06-30,4.02,$-2.23,0.0
2023-03-31,1.76,$-2.35,0.0
2022-12-31,1.16,$-2.15,0.0
2022-09-30,3.11,$-1.83,0.0
2022-06-30,4.71,$-0.45,0.0
2022-03-31,8.65,$-0.60,0.0
2021-12-31,14.61,$-1.12,0.0
2021-09-30,20.53,$-1.30,0.0
2021-06-30,17.73,$-1.21,0.0
2021-03-31,21.19,$-0.97,0.0
