Arcus Biosciences PE Ratio Historical Data,Arcus Biosciences PE Ratio Historical Data,Arcus Biosciences PE Ratio Historical Data,Arcus Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.24,,0.0
2024-06-30,15.23,$-3.09,0.0
2024-03-31,18.88,$-3.11,0.0
2023-12-31,19.1,$-4.15,0.0
2023-09-30,17.95,$-4.00,0.0
2023-06-30,20.31,$-3.96,0.0
2023-03-31,18.24,$-3.85,0.0
2022-12-31,20.68,$-3.72,0.0
2022-09-30,26.16,$0.92,28.43
2022-06-30,25.34,$0.71,35.69
2022-03-31,31.56,$0.55,57.38
2021-12-31,40.47,$0.43,94.12
2021-09-30,34.87,$-4.10,0.0
2021-06-30,27.46,$-2.96,0.0
2021-03-31,28.08,$-2.80,0.0
2020-12-31,25.96,$-2.35,0.0
2020-09-30,17.14,$-1.91,0.0
2020-06-30,24.74,$-2.45,0.0
2020-03-31,13.88,$-2.16,0.0
2019-12-31,10.1,$-1.94,0.0
2019-09-30,9.1,$-1.84,0.0
2019-06-30,7.95,$-1.58,0.0
2019-03-31,12.49,$-1.26,0.0
2018-12-31,10.77,$-2.22,0.0
