VIZIO Holding PE Ratio Historical Data,VIZIO Holding PE Ratio Historical Data,VIZIO Holding PE Ratio Historical Data,VIZIO Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.27,,140.88
2024-06-30,10.8,$0.08,135.0
2024-03-31,10.94,$0.08,136.75
2023-12-31,7.7,$0.17,45.29
2023-09-30,5.41,$0.11,49.18
2023-03-31,9.18,$0.05,183.6
2022-12-31,7.41,$-0.01,0.0
2022-09-30,8.74,$-0.09,0.0
2022-06-30,6.82,$-0.09,0.0
2022-03-31,8.89,$-0.20,0.0
2021-12-31,19.43,$-0.22,0.0
2023-06-30,6.75,$-0.15,0.0
