Cipher Mining PE Ratio Historical Data,Cipher Mining PE Ratio Historical Data,Cipher Mining PE Ratio Historical Data,Cipher Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.82,,80.33
2024-06-30,4.15,$0.06,69.17
2024-03-31,5.15,$0.06,85.83
2023-12-31,4.13,$-0.10,0.0
2023-09-30,2.33,$-0.36,0.0
2023-06-30,2.86,$-0.05,0.0
2023-03-31,2.33,$-0.12,0.0
2022-12-31,0.56,$-0.16,0.0
2022-09-30,1.26,$0.05,25.2
2022-06-30,1.37,$-0.19,0.0
2022-03-31,3.64,$-0.07,0.0
2021-12-31,4.63,$-0.01,0.0
2021-03-31,10.83,$-0.01,0.0
