"Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.89,,6.42
2024-06-30,29.15,$5.28,5.52
2024-03-31,28.61,$4.94,5.79
2023-12-31,23.47,$4.56,5.15
2023-09-30,19.88,$4.14,4.8
2023-06-30,20.46,$3.63,5.64
2023-03-31,15.9,$3.24,4.91
2022-12-31,14.61,$2.53,5.78
2022-09-30,11.6,$2.22,5.23
2022-06-30,11.59,$1.89,6.13
2022-03-31,13.38,$1.62,8.26
2021-12-31,14.02,$1.63,8.6
2021-09-30,14.61,$1.49,9.8
2021-06-30,12.61,$1.47,8.58
2021-03-31,12.22,$1.47,8.31
2020-12-31,12.58,$1.61,7.82
2020-09-30,9.48,$1.77,5.35
2020-06-30,8.79,$1.90,4.62
2020-03-31,7.69,$2.10,3.66
2019-12-31,15.63,$2.16,7.24
2019-09-30,14.31,$0.57,25.11
2019-06-30,14.69,$0.47,31.25
2018-12-31,11.75,$0.28,41.98
2018-09-30,13.9,$0.28,49.63
2018-06-30,16.09,$1.83,8.79
2018-03-31,18.37,$1.85,9.93
2017-12-31,17.12,$1.82,9.4
2017-09-30,18.48,$2.01,9.19
2017-06-30,16.94,$2.06,8.22
2016-12-31,17.72,$2.22,7.98
2016-09-30,16.72,$2.47,6.77
2016-06-30,15.51,$2.62,5.92
2016-03-31,13.96,$2.59,5.39
2015-12-31,14.69,$2.51,5.85
2015-09-30,12.93,$2.66,4.86
2019-03-31,13.8,$2.73,5.05
2015-06-30,17.73,$2.87,6.18
2015-03-31,17.85,$2.88,6.2
2014-12-31,16.38,$2.75,5.96
2014-09-30,16.3,$2.44,6.68
2014-06-30,15.58,$2.35,6.63
2014-03-31,13.69,$2.39,5.73
2013-12-31,14.34,$2.21,6.49
2013-09-30,12.61,$2.23,5.65
2013-06-30,11.19,$1.98,5.65
2013-03-31,12.21,$2.02,6.04
2012-12-31,10.5,$2.45,4.29
2012-09-30,10.61,$2.48,4.28
2012-06-30,10.17,$2.74,3.71
2012-03-31,9.9,$2.57,3.85
2011-12-31,7.43,$2.41,3.08
2017-03-31,16.93,$2.18,7.77
2011-09-30,6.96,$2.00,3.48
2011-06-30,7.83,$1.97,3.98
2011-03-31,7.81,$1.55,5.04
2010-12-31,8.16,$1.43,5.71
2010-09-30,6.32,$1.44,4.39
2010-03-31,6.15,$1.32,4.66
2009-12-31,5.89,$1.50,3.93
2009-09-30,5.96,$1.23,4.85
