Inter PE Ratio Historical Data,Inter PE Ratio Historical Data,Inter PE Ratio Historical Data,Inter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.58,,24.37
2024-06-30,6.15,$0.27,22.78
2024-03-31,5.71,$0.19,30.05
2023-12-31,5.56,$0.11,50.55
2023-06-30,3.13,$0.03,104.33
2023-03-31,1.7,$0.02,85.0
2022-12-31,2.37,$0.06,39.5
