Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data,Polestar Automotive Holding UK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1.23,,0.0
2023-09-30,2.64,$-0.22,0.0
2023-06-30,3.82,$-0.01,0.0
2023-03-31,3.79,$0.13,29.15
2022-12-31,5.31,$0.14,37.93
2022-09-30,5.06,$0.14,36.14
2022-06-30,8.81,0,0.0
2022-03-31,11.37,0,0.0
2021-09-30,10.22,0,0.0
2021-06-30,9.77,$-0.35,0.0
