Markel Group PE Ratio Historical Data,Markel Group PE Ratio Historical Data,Markel Group PE Ratio Historical Data,Markel Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,1594.08,,10.37
2024-06-30,1575.66,$153.67,10.25
2024-03-31,1521.48,$185.14,8.22
2023-12-31,1419.9,$146.97,9.66
2023-09-30,1472.49,$139.54,10.55
2023-06-30,1383.18,$139.90,9.89
2023-03-31,1277.41,$20.62,61.95
2022-12-31,1317.49,$-23.22,0.0
2022-09-30,1084.22,$-9.83,0.0
2022-06-30,1293.25,$1.76,734.8
2022-03-31,1475.24,$127.97,11.53
2021-12-31,1234.0,$176.57,6.99
2021-09-30,1195.13,$173.46,6.89
2021-06-30,1186.71,$189.40,6.27
2021-03-31,1139.62,$198.13,5.75
2020-12-31,1033.3,$55.51,18.61
2020-09-30,973.7,$32.44,30.02
2020-06-30,923.17,$15.36,60.1
2020-03-31,927.89,$-14.32,0.0
2019-12-31,1143.17,$129.04,8.86
2019-09-30,1181.9,$38.90,30.38
2019-06-30,1089.6,$53.45,20.39
2019-03-31,996.24,$37.35,26.67
2018-12-31,1038.05,$-9.66,0.0
2018-09-30,1188.49,$74.61,15.93
2018-06-30,1084.35,$27.29,39.73
2018-03-31,1170.25,$17.63,66.38
2017-12-31,1139.13,$25.78,44.19
2017-09-30,1067.98,$4.50,237.33
2017-06-30,975.86,$28.92,33.74
2017-03-31,975.86,$24.02,40.63
2016-12-31,904.5,$31.27,28.93
2016-09-30,928.77,$36.30,25.59
2016-06-30,952.78,$38.09,25.01
2016-03-31,891.57,$39.40,22.63
2015-12-31,883.35,$41.74,21.16
2015-09-30,801.86,$35.65,22.49
2015-06-30,800.68,$33.65,23.79
2015-03-31,768.96,$29.59,25.99
2014-12-31,682.84,$22.35,30.55
2014-09-30,636.15,$21.25,29.94
2014-06-30,655.64,$20.53,31.94
2014-03-31,596.1,$27.37,21.78
2013-12-31,580.35,$27.35,21.22
2013-09-30,517.77,$25.72,20.13
2013-03-31,503.5,$29.47,17.09
2012-12-31,433.42,$25.89,16.74
2012-09-30,458.49,$24.85,18.45
2012-06-30,441.7,$21.75,20.31
2012-03-31,448.94,$18.81,23.87
2011-12-31,414.67,$16.00,25.92
2013-06-30,526.95,$11.66,45.19
2011-09-30,357.13,$23.81,15.0
2011-06-30,396.81,$24.81,15.99
2011-03-31,414.45,$23.82,17.4
2010-12-31,378.13,$27.30,13.85
2010-09-30,344.59,$22.42,15.37
2010-06-30,340.0,$21.96,15.48
2010-03-31,374.66,$23.18,16.16
2009-12-31,340.0,$20.52,16.57
