MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data,MasterBrand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.06,,13.81
2024-06-30,14.68,$1.38,10.64
2024-03-31,18.74,$1.42,13.2
2023-12-31,14.85,$1.40,10.61
2023-09-30,12.15,$1.24,9.8
