"Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data","Compania Cervecerias Unidas, S.A PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.15,,17.42
2024-06-30,11.38,$0.64,17.78
2024-03-31,11.82,$0.58,20.38
2023-12-31,12.36,$0.66,18.73
2023-09-30,12.22,$0.69,17.7
2023-06-30,15.73,$0.73,21.55
2023-03-31,15.09,$0.69,21.87
2022-12-31,12.67,$0.73,17.35
2022-09-30,10.1,$0.97,10.42
2022-06-30,11.84,$1.17,10.12
2022-03-31,13.49,$1.38,9.77
2021-12-31,14.8,$1.45,10.2
2021-09-30,14.11,$1.32,10.69
2021-06-30,16.43,$1.11,14.8
2021-03-31,14.1,$0.95,14.84
2020-12-31,11.73,$0.68,17.25
2020-09-30,10.24,$0.68,15.06
2020-06-30,11.31,$0.66,17.13
2020-03-31,10.28,$0.82,12.53
2019-12-31,14.57,$0.99,14.72
2019-09-30,16.87,$1.14,14.8
2019-06-30,21.48,$1.24,17.32
2019-03-31,22.28,$2.54,8.77
2018-12-31,19.0,$2.66,7.14
2018-09-30,21.1,$2.59,8.15
2018-06-30,18.86,$2.58,7.31
2018-03-31,21.96,$1.21,18.15
2017-12-31,22.09,$1.15,19.21
2017-09-30,19.95,$0.78,25.58
2017-06-30,19.44,$0.67,29.02
2016-12-31,15.36,$0.94,16.34
2016-09-30,14.64,$0.78,18.77
2016-06-30,16.92,$0.85,19.91
2016-03-31,16.06,$0.96,16.73
2015-12-31,15.5,$1.00,15.5
2015-09-30,15.72,$1.08,14.56
2015-06-30,15.03,$1.29,11.65
2015-03-31,14.51,$1.27,11.43
2014-12-31,12.97,$1.09,11.9
2017-03-31,18.5,$1.12,16.52
2014-09-30,15.23,$1.23,12.38
2014-06-30,16.19,$1.35,11.99
2014-03-31,15.21,$1.35,11.27
2013-12-31,16.39,$1.49,11.0
2013-09-30,17.91,$1.60,11.2
2013-06-30,19.26,$1.57,12.28
2013-03-31,22.06,$1.53,14.43
2012-12-31,20.98,$1.51,13.92
2012-09-30,18.93,$1.47,12.89
2012-06-30,16.55,$1.52,10.89
2012-03-31,20.74,$1.50,13.86
2011-12-31,16.63,$1.42,11.74
2011-09-30,13.53,$1.34,10.13
2011-06-30,15.4,$1.30,11.88
2011-03-31,15.39,$1.32,11.66
2010-12-31,15.72,$1.28,12.24
2010-09-30,14.4,$1.21,11.92
2010-06-30,11.15,$1.48,7.54
2010-03-31,9.5,$1.67,5.69
2009-12-31,9.88,$1.27,7.8
