Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data,Arbor Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.19,,10.48
2024-06-30,13.9,$1.45,9.59
2024-03-31,12.45,$1.66,7.5
2023-12-31,13.8,$1.84,7.5
2023-06-30,12.68,$1.72,7.37
2023-03-31,9.52,$1.72,5.53
2022-12-31,10.33,$1.66,6.22
2022-09-30,8.76,$1.88,4.66
2022-06-30,9.74,$2.03,4.8
2022-03-31,12.38,$2.13,5.81
2021-12-31,13.02,$2.28,5.71
2021-09-30,12.93,$2.37,5.46
2021-06-30,12.2,$2.58,4.73
2021-03-31,10.68,$2.47,4.32
2020-12-31,9.34,$1.38,6.77
2020-09-30,7.37,$0.92,8.01
2020-06-30,5.78,$0.55,10.51
2020-03-31,2.97,$0.46,6.45
2019-12-31,8.49,$1.26,6.74
2019-09-30,7.6,$1.33,5.72
2019-06-30,6.86,$1.45,4.73
2019-03-31,7.19,$1.50,4.79
2023-09-30,13.34,$1.49,8.95
2018-12-31,5.47,$1.50,3.64
2018-09-30,6.01,$1.38,4.35
2018-06-30,5.34,$1.28,4.17
2018-03-31,4.4,$1.24,3.55
2017-12-31,4.21,$1.12,3.76
2017-09-30,3.9,$1.17,3.34
2017-06-30,3.88,$1.12,3.47
2017-03-31,3.82,$1.11,3.44
2016-12-31,3.32,$0.83,4.0
2016-09-30,3.24,$0.53,6.1
2016-06-30,3.07,$0.62,4.95
2016-03-31,2.83,$0.63,4.49
2015-12-31,2.92,$0.91,3.21
2015-09-30,2.54,$0.91,2.79
2015-06-30,2.64,$1.87,1.41
2015-03-31,2.66,$1.89,1.41
2014-12-31,2.54,$1.71,1.48
2014-09-30,2.48,$1.68,1.48
2014-06-30,2.51,$0.50,5.02
2014-03-31,2.45,$0.34,7.22
2013-12-31,2.32,$0.21,11.03
2013-09-30,2.31,$0.21,11.02
2013-06-30,2.11,$0.75,2.81
2012-12-31,1.95,$0.85,2.29
2012-09-30,1.9,$-0.29,0.0
2012-06-30,1.67,$-0.17,0.0
2012-03-31,1.72,$-0.89,0.0
2011-12-31,1.09,$-1.47,0.0
2013-03-31,2.59,$-0.31,0.0
2011-09-30,1.17,$-2.12,0.0
2011-06-30,1.44,$-2.08,0.0
2011-03-31,1.75,$3.38,0.52
2010-12-31,1.84,$4.41,0.42
2010-09-30,1.56,$0.76,2.05
2010-06-30,1.58,$-0.92,0.0
2010-03-31,1.0,$-7.89,0.0
2009-12-31,0.61,$-9.10,0.0
