Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data,Intercorp Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.4,,14.89
2024-06-30,22.41,$1.84,12.18
2024-03-31,22.74,$3.09,7.36
2023-03-31,20.68,$3.13,6.61
