Lightspeed Commerce PE Ratio Historical Data,Lightspeed Commerce PE Ratio Historical Data,Lightspeed Commerce PE Ratio Historical Data,Lightspeed Commerce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.72,,0.0
2024-06-30,13.69,$-0.98,0.0
2024-03-31,14.06,$-1.07,0.0
2023-12-31,20.99,$-1.35,0.0
2023-09-30,14.03,$-6.48,0.0
2023-06-30,16.92,$-6.73,0.0
2023-03-31,15.18,$-7.09,0.0
2022-12-31,14.3,$-7.37,0.0
2022-09-30,17.58,$-2.42,0.0
2022-06-30,22.3,$-2.32,0.0
2022-03-31,30.47,$-2.02,0.0
2021-12-31,40.43,$-1.59,0.0
2021-09-30,96.43,$-1.54,0.0
2021-06-30,83.61,$-1.31,0.0
