First Advantage PE Ratio Historical Data,First Advantage PE Ratio Historical Data,First Advantage PE Ratio Historical Data,First Advantage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.86,,124.13
2024-06-30,16.07,$0.16,100.44
2024-03-31,16.22,$0.22,73.73
2023-12-31,16.57,$0.25,66.28
2023-09-30,13.79,$0.28,49.25
2023-06-30,15.41,$0.32,48.16
2023-03-31,13.96,$0.34,41.06
2022-12-31,13.0,$0.42,30.95
2022-09-30,12.83,$0.39,32.9
2022-06-30,12.67,$0.39,32.49
2022-03-31,20.19,$0.33,61.18
