JFrog PE Ratio Historical Data,JFrog PE Ratio Historical Data,JFrog PE Ratio Historical Data,JFrog PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.29,,0.0
2024-06-30,37.55,$-0.45,0.0
2024-03-31,44.22,$-0.53,0.0
2023-12-31,34.61,$-0.68,0.0
2023-09-30,25.36,$-0.81,0.0
2023-03-31,19.7,$-0.92,0.0
2022-12-31,21.33,$-0.91,0.0
2022-09-30,22.11,$-0.91,0.0
2022-06-30,21.07,$-0.82,0.0
2022-03-31,26.95,$-0.79,0.0
2021-12-31,29.7,$-0.73,0.0
2023-06-30,27.7,$-0.59,0.0
2021-09-30,33.5,$-0.48,0.0
2021-06-30,45.52,$-0.41,0.0
