PagSeguro Digital PE Ratio Historical Data,PagSeguro Digital PE Ratio Historical Data,PagSeguro Digital PE Ratio Historical Data,PagSeguro Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.34,,7.13
2024-06-30,11.69,$1.17,9.99
2024-03-31,14.28,$1.11,12.86
2023-12-31,12.47,$1.03,12.11
2023-09-30,8.61,$0.96,8.97
2023-06-30,9.44,$0.92,10.26
2023-03-31,8.57,$0.90,9.52
2022-12-31,8.74,$0.88,9.93
2022-09-30,13.23,$0.80,16.54
2022-06-30,10.24,$0.77,13.3
2022-03-31,20.05,$0.71,28.24
2021-12-31,26.22,$0.66,39.73
2021-09-30,51.72,$0.71,72.85
2021-06-30,55.92,$0.67,83.46
2021-03-31,46.3,$0.68,68.09
2020-12-31,56.88,$0.77,73.87
2020-09-30,37.71,$0.83,45.43
2020-06-30,35.34,$0.93,38.0
2020-03-31,19.33,$0.95,20.35
2019-12-31,34.16,$0.92,37.13
2018-12-31,18.73,$0.80,23.41
2018-09-30,27.67,$0.80,34.59
2018-06-30,27.75,$0.87,31.9
2018-03-31,38.32,$0.92,41.65
