Zscaler PE Ratio Historical Data,Zscaler PE Ratio Historical Data,Zscaler PE Ratio Historical Data,Zscaler PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,199.98,,0.0
2024-04-30,172.94,$-0.51,0.0
2024-01-31,235.67,$-0.95,0.0
2023-10-31,158.69,$-1.16,0.0
2023-07-31,160.38,$-1.41,0.0
2023-04-30,90.1,$-1.89,0.0
2023-01-31,124.16,$-2.29,0.0
2022-10-31,154.1,$-2.60,0.0
2022-07-31,155.06,$-2.77,0.0
2022-04-30,202.74,$-2.67,0.0
2022-01-31,257.11,$-2.38,0.0
2021-10-31,318.86,$-2.17,0.0
2021-07-31,235.91,$-1.93,0.0
2021-04-30,187.64,$-1.72,0.0
2021-01-31,199.7,$-1.44,0.0
2020-10-31,135.75,$-1.17,0.0
2020-07-31,129.85,$-0.89,0.0
2020-04-30,67.08,$-0.55,0.0
2020-01-31,56.09,$-0.50,0.0
2019-10-31,43.98,$-0.30,0.0
2019-07-31,84.27,$-0.23,0.0
2019-04-30,68.31,$-0.25,0.0
2019-01-31,48.37,$-0.29,0.0
