Full Truck Alliance PE Ratio Historical Data,Full Truck Alliance PE Ratio Historical Data,Full Truck Alliance PE Ratio Historical Data,Full Truck Alliance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.68,,24.8
2024-06-30,8.04,$0.35,22.97
2024-03-31,7.27,$0.32,22.72
2023-12-31,7.01,$0.30,23.37
2023-09-30,7.04,$0.25,28.16
2023-06-30,6.22,$0.22,28.27
2023-03-31,7.61,$0.14,54.36
2022-12-31,8.0,$0.05,160.0
2022-09-30,6.55,$-0.01,0.0
2022-06-30,9.06,$-1.20,0.0
