Airbnb PE Ratio Historical Data,Airbnb PE Ratio Historical Data,Airbnb PE Ratio Historical Data,Airbnb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,117.31,,15.96
2024-06-30,151.63,$7.35,20.63
2024-03-31,164.96,$7.47,22.08
2023-12-31,136.14,$7.24,18.8
2023-09-30,137.21,$8.27,16.59
2023-06-30,128.16,$3.43,37.36
2023-03-31,124.4,$3.01,41.33
2022-12-31,85.5,$2.80,30.54
2022-09-30,105.04,$2.40,43.77
2022-06-30,89.08,$1.83,48.68
2022-03-31,171.76,$1.16,148.07
2021-12-31,166.49,$-0.76,0.0
2021-09-30,167.75,$-12.08,0.0
