Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data,Camping World PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.61,,0.0
2024-06-30,17.76,$-0.46,0.0
2024-03-31,27.52,$-0.04,0.0
2023-12-31,25.83,$0.52,49.67
2023-09-30,19.98,$0.22,90.8
2023-06-30,29.29,$0.87,33.67
2023-03-31,19.88,$2.24,8.88
2022-12-31,20.64,$3.21,6.43
2022-09-30,22.83,$4.54,5.03
2022-06-30,19.07,$5.29,3.6
2022-03-31,24.1,$5.61,4.3
2021-12-31,34.12,$5.99,5.7
2021-09-30,32.41,$5.79,5.6
2021-06-30,33.75,$5.51,6.13
2021-03-31,29.76,$4.72,6.3
2020-12-31,21.19,$3.10,6.84
2020-09-30,23.34,$1.87,12.48
2020-06-30,21.21,$-0.39,0.0
2020-03-31,4.41,$-1.47,0.0
2019-12-31,11.18,$-1.77,0.0
2019-09-30,6.67,$-1.71,0.0
2019-06-30,9.16,$-0.51,0.0
2019-03-31,10.14,$-0.25,0.0
2018-12-31,8.26,$0.35,23.6
2018-09-30,15.2,$-0.69,0.0
2018-06-30,17.66,$-0.39,0.0
2018-03-31,22.66,$-0.27,0.0
2017-12-31,31.29,$0.02,1564.58
2017-09-30,28.32,$1.98,14.3
