GigaCloud Technology PE Ratio Historical Data,GigaCloud Technology PE Ratio Historical Data,GigaCloud Technology PE Ratio Historical Data,GigaCloud Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.45,,8.83
2024-06-30,30.42,$2.77,10.98
2024-03-31,26.72,$2.57,10.4
2023-12-31,18.3,$2.30,7.95
2023-09-30,8.81,$1.74,5.06
2023-06-30,6.76,$1.16,5.83
