CVR Energy PE Ratio Historical Data,CVR Energy PE Ratio Historical Data,CVR Energy PE Ratio Historical Data,CVR Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.7,,4.54
2024-06-30,26.26,$5.44,4.83
2024-03-31,34.39,$6.52,5.27
2023-12-31,28.78,$7.65,3.76
2023-09-30,30.32,$7.85,3.86
2023-06-30,25.64,$5.26,4.87
2023-03-31,27.48,$5.61,4.9
2022-12-31,25.88,$3.53,7.33
2022-09-30,23.05,$3.25,7.09
2022-06-30,24.35,$2.27,10.73
2021-12-31,12.06,$0.24,50.24
2021-09-30,11.95,$-0.29,0.0
2021-06-30,12.88,$-0.19,0.0
2021-03-31,10.8,$-1.09,0.0
2020-12-31,8.39,$-0.75,0.0
2022-03-31,18.32,$-0.95,0.0
2020-09-30,6.97,$-1.44,0.0
2020-06-30,11.33,$0.70,16.18
2020-03-31,9.11,$1.91,4.77
2019-12-31,21.68,$3.78,5.73
2019-09-30,23.21,$4.16,5.58
2019-06-30,25.96,$3.92,6.62
2019-03-31,21.39,$3.35,6.39
2018-12-31,17.58,$3.11,5.65
2018-09-30,20.15,$4.60,4.38
2018-06-30,18.14,$3.92,4.63
2018-03-31,14.62,$3.21,4.56
2017-12-31,17.73,$2.71,6.54
2017-09-30,12.13,$0.48,25.27
2017-06-30,9.93,$0.28,35.47
2017-03-31,8.95,$0.73,12.27
2016-12-31,11.08,$0.28,39.57
2016-09-30,5.78,$-0.32,0.0
2016-06-30,6.28,$0.29,21.66
2016-03-31,10.32,$1.13,9.13
2015-12-31,15.22,$1.95,7.81
2015-09-30,15.71,$1.96,8.01
2015-06-30,14.23,$1.38,10.31
2015-03-31,15.89,$1.17,13.58
2014-12-31,14.28,$2.00,7.14
2014-09-30,16.24,$2.26,7.19
2014-06-30,16.54,$2.68,6.17
2014-03-31,14.27,$3.83,3.73
2013-12-31,14.4,$4.27,3.37
2013-09-30,12.5,$4.98,2.51
2013-06-30,15.12,$6.88,2.2
2013-03-31,14.73,$6.52,2.26
2012-12-31,12.62,$4.33,2.92
2012-09-30,9.51,$4.62,2.06
2012-06-30,6.88,$3.46,1.99
2012-03-31,6.92,$3.13,2.21
2011-12-31,4.85,$3.94,1.23
2011-09-30,5.47,$3.22,1.7
2011-06-30,6.37,$2.24,2.84
2011-03-31,5.99,$0.83,7.22
2010-12-31,3.93,$0.17,23.1
2010-09-30,2.13,$0.25,8.54
2010-06-30,1.95,$-0.18,0.0
2010-03-31,2.26,$0.30,7.55
2009-12-31,1.77,$0.80,2.22
