ADT PE Ratio Historical Data,ADT PE Ratio Historical Data,ADT PE Ratio Historical Data,ADT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.02,,10.03
2024-06-30,7.54,$0.70,10.77
2024-03-31,6.62,$0.70,9.45
2023-12-31,6.66,$0.50,13.32
2023-09-30,5.83,$0.07,83.28
2023-06-30,5.82,$0.03,194.14
2023-03-31,6.94,$0.03,231.46
2022-12-31,8.67,$0.19,45.62
2022-09-30,7.13,$-0.04,0.0
2022-06-30,5.83,$-0.04,0.0
2022-03-31,7.16,$-0.29,0.0
2021-12-31,7.9,$-0.41,0.0
2021-09-30,7.56,$-0.48,0.0
2021-06-30,10.04,$-0.50,0.0
2021-03-31,7.83,$-0.49,0.0
2020-12-31,7.25,$-0.83,0.0
2020-09-30,7.52,$-0.79,0.0
2020-06-30,7.31,$-0.89,0.0
2020-03-31,3.94,$-0.89,0.0
2019-12-31,7.17,$-0.58,0.0
2019-09-30,5.22,$-0.68,0.0
2019-06-30,5.06,$-0.74,0.0
2019-03-31,5.23,$-0.69,0.0
2018-12-31,4.92,$-0.82,0.0
