CompoSecure PE Ratio Historical Data,CompoSecure PE Ratio Historical Data,CompoSecure PE Ratio Historical Data,CompoSecure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.95,,14.95
2024-06-30,6.8,$1.00,6.8
2024-03-31,7.23,$0.97,7.45
2023-12-31,5.4,$0.91,5.93
2023-09-30,6.45,$0.88,7.33
2023-06-30,6.86,$0.72,9.53
2023-03-31,7.36,$0.95,7.75
2022-12-31,4.91,$1.00,4.91
2022-09-30,5.01,$2.21,2.27
2022-06-30,5.2,$2.03,2.56
2022-03-31,7.59,$1.51,5.03
2021-12-31,8.21,$1.35,6.08
2021-09-30,10.11,0,0.0
