VinFast Auto PE Ratio Historical Data,VinFast Auto PE Ratio Historical Data,VinFast Auto PE Ratio Historical Data,VinFast Auto PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.75,,0.0
2024-06-30,4.3,$-1.14,0.0
2024-03-31,4.97,$-0.82,0.0
2023-12-31,8.37,$-0.51,0.0
2023-09-30,12.5,$-0.11,0.0
2023-06-30,10.33,$0.18,57.39
2023-03-31,10.27,$0.25,41.08
2022-12-31,10.0,$0.62,16.13
2022-09-30,9.79,$0.50,19.58
2022-06-30,9.69,$0.68,14.25
