Nuvalent PE Ratio Historical Data,Nuvalent PE Ratio Historical Data,Nuvalent PE Ratio Historical Data,Nuvalent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.16,,0.0
2024-06-30,75.86,$-2.78,0.0
2024-03-31,75.09,$-2.41,0.0
2023-12-31,73.59,$-2.16,0.0
2023-09-30,45.97,$-2.03,0.0
2023-06-30,42.17,$-1.85,0.0
2023-03-31,26.09,$-1.72,0.0
2022-12-31,29.78,$-1.64,0.0
2022-09-30,19.44,$-1.51,0.0
2022-06-30,13.56,$-1.49,0.0
