Petco Health And Wellness PE Ratio Historical Data,Petco Health And Wellness PE Ratio Historical Data,Petco Health And Wellness PE Ratio Historical Data,Petco Health And Wellness PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.58,,0.0
2024-07-31,3.46,$-4.97,0.0
2024-04-30,1.5,$-4.93,0.0
2024-01-31,2.39,$-4.77,0.0
2023-10-31,3.46,$-4.57,0.0
2023-07-31,8.16,$0.13,62.77
2023-04-30,9.96,$0.23,43.3
2023-01-31,11.69,$0.33,35.42
2022-10-31,10.53,$0.32,32.91
2022-07-31,13.92,$0.45,30.93
2022-04-30,19.26,$0.68,28.32
2022-01-31,18.75,$0.62,30.24
2021-10-31,24.73,$0.48,51.52
