Iris Energy PE Ratio Historical Data,Iris Energy PE Ratio Historical Data,Iris Energy PE Ratio Historical Data,Iris Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.95,,0.0
2022-03-31,15.67,$-0.91,0.0
2021-12-31,16.17,$-0.86,0.0
2024-03-31,5.4,$-2.70,0.0
2023-12-31,7.15,$-2.78,0.0
