New Fortress Energy LLC PE Ratio Historical Data,New Fortress Energy LLC PE Ratio Historical Data,New Fortress Energy LLC PE Ratio Historical Data,New Fortress Energy LLC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.13,,7.74
2024-06-30,21.98,$1.18,18.63
2024-03-31,30.59,$2.20,13.9
2023-12-31,37.73,$2.65,14.24
2023-09-30,32.78,$1.89,17.34
2023-06-30,26.78,$1.88,14.24
2023-03-31,29.43,$0.49,60.06
2022-12-31,42.42,$0.91,46.62
2022-09-30,43.71,$1.33,32.86
2022-06-30,39.5,$0.99,39.9
2022-03-31,42.43,$1.77,23.97
2021-12-31,23.96,$0.43,55.72
2021-09-30,27.43,$-0.29,0.0
2021-06-30,37.32,$-0.45,0.0
2021-03-31,45.13,$-2.82,0.0
2020-12-31,52.56,$-2.93,0.0
2020-09-30,43.07,$-3.23,0.0
2020-06-30,12.64,$-3.32,0.0
2020-03-31,9.55,$-1.20,0.0
2019-12-31,15.28,$-1.84,0.0
