Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data,Kinross Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.15,,24.76
2024-06-30,8.29,$0.41,20.23
2024-03-31,6.11,$0.36,16.97
2023-12-31,6.0,$0.34,17.63
2023-09-30,4.5,$0.20,22.48
2023-06-30,4.67,$0.16,29.21
2023-03-31,4.59,$0.01,458.61
2022-12-31,3.95,$-0.47,0.0
2022-09-30,3.6,$-0.39,0.0
2022-06-30,3.4,$-0.48,0.0
2022-03-31,5.55,$-0.36,0.0
2021-12-31,5.45,$0.17,32.08
2021-09-30,5.01,$0.79,6.34
2021-06-30,5.9,$1.02,5.78
2021-03-31,6.17,$1.08,5.72
2020-12-31,6.76,$1.06,6.38
2020-09-30,8.06,$0.85,9.49
2020-06-30,6.6,$0.71,9.3
2020-03-31,3.64,$0.62,5.87
2019-12-31,4.33,$0.57,7.6
2019-09-30,4.21,$0.14,30.04
2019-06-30,3.55,$0.01,0.0
2019-03-31,3.14,$-0.05,0.0
2018-12-31,2.96,$-0.02,0.0
2018-09-30,2.47,$0.17,14.52
2018-06-30,3.44,$0.30,11.46
2018-03-31,3.61,$0.33,10.94
2017-12-31,3.95,$0.36,10.97
2017-09-30,3.88,$0.10,38.76
2017-06-30,3.72,$0.05,74.42
2017-03-31,3.21,0,0.0
2016-12-31,2.84,$-0.12,0.0
2016-09-30,3.85,$-0.76,0.0
2016-06-30,4.47,$-0.81,0.0
2016-03-31,3.11,$-0.86,0.0
2015-12-31,1.66,$-0.86,0.0
2015-09-30,1.57,$-1.42,0.0
2015-06-30,2.12,$-1.37,0.0
2015-03-31,2.05,$-1.26,0.0
2014-12-31,2.58,$-1.22,0.0
2014-09-30,3.02,$-0.58,0.0
2014-06-30,3.78,$-0.54,0.0
2014-03-31,3.78,$-3.39,0.0
2013-12-31,4.0,$-3.28,0.0
2013-09-30,4.62,$-5.25,0.0
2013-06-30,4.66,$-5.09,0.0
2013-03-31,7.25,$-2.15,0.0
2012-12-31,8.8,$-2.20,0.0
2012-09-30,9.24,$-2.03,0.0
2012-06-30,7.32,$-2.04,0.0
2012-03-31,8.79,$-1.95,0.0
2011-12-31,10.16,$-1.82,0.0
2011-09-30,13.17,$0.82,16.06
2011-06-30,14.03,$1.07,13.11
2011-03-31,13.99,$1.00,13.99
2010-12-31,16.78,$0.94,17.85
2010-09-30,16.63,$1.09,15.26
2010-06-30,15.08,$0.62,24.33
2010-03-31,15.08,$0.50,30.16
2009-12-31,16.19,$0.45,35.98
