Asana PE Ratio Historical Data,Asana PE Ratio Historical Data,Asana PE Ratio Historical Data,Asana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,12.18,,0.0
2024-07-31,14.55,$-1.15,0.0
2024-04-30,14.87,$-1.17,0.0
2024-01-31,17.42,$-1.17,0.0
2023-10-31,18.47,$-1.33,0.0
2023-07-31,24.28,$-1.54,0.0
2023-04-30,16.18,$-1.80,0.0
2023-01-31,15.5,$-2.04,0.0
2022-10-31,20.6,$-2.08,0.0
2022-07-31,19.32,$-1.96,0.0
2022-04-30,26.8,$-1.77,0.0
2022-01-31,52.48,$-1.62,0.0
2021-10-31,135.8,$-1.53,0.0
2021-07-31,71.06,$-1.81,0.0
