RLJ Lodging Trust PE Ratio Historical Data,RLJ Lodging Trust PE Ratio Historical Data,RLJ Lodging Trust PE Ratio Historical Data,RLJ Lodging Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.22,,35.46
2024-06-30,9.48,$0.26,36.44
2024-03-31,11.51,$0.28,41.11
2023-12-31,11.32,$0.32,35.36
2023-09-30,9.37,$0.31,30.24
2023-06-30,9.74,$0.32,30.42
2023-03-31,9.97,$0.26,38.35
2022-12-31,9.88,$0.10,98.82
2022-09-30,9.4,$-0.11,0.0
2022-06-30,10.19,$-1.12,0.0
2022-03-31,13.0,$-1.63,0.0
2021-12-31,12.85,$-2.01,0.0
2021-09-30,13.7,$-2.37,0.0
2021-06-30,14.03,$-2.53,0.0
2021-03-31,14.25,$-2.92,0.0
2020-12-31,13.02,$-2.62,0.0
2020-09-30,7.96,$-1.88,0.0
2020-06-30,8.67,$-0.63,0.0
2020-03-31,7.08,$0.27,26.23
2019-12-31,16.24,$0.60,27.06
2019-09-30,15.29,$0.55,27.79
2019-06-30,15.66,$0.79,19.82
2019-03-31,15.22,$0.96,15.86
2018-12-31,13.95,$0.94,14.84
2018-09-30,18.37,$0.82,22.4
2018-06-30,18.11,$0.44,41.16
2018-03-31,15.73,$0.45,34.96
2017-12-31,17.48,$0.52,33.62
2017-09-30,17.25,$1.13,15.27
2017-06-30,15.33,$1.45,10.57
2017-03-31,17.85,$1.58,11.3
2016-12-31,18.34,$1.61,11.39
2016-09-30,15.53,$1.59,9.77
2016-06-30,15.6,$1.57,9.94
2016-03-31,16.37,$1.52,10.77
2015-12-31,15.25,$1.68,9.08
2015-09-30,17.56,$1.34,13.1
2015-06-30,20.43,$1.31,15.59
2015-03-31,21.24,$1.31,16.21
2014-12-31,22.5,$1.05,21.43
2014-09-30,18.94,$1.03,18.39
2014-06-30,19.03,$1.05,18.12
2014-03-31,17.47,$0.96,18.2
2013-12-31,15.76,$0.94,16.77
2013-09-30,15.08,$0.84,17.95
2013-06-30,14.31,$0.68,21.05
2013-03-31,14.35,$0.53,27.08
2012-12-31,12.1,$0.39,31.03
2012-09-30,11.69,$0.25,46.76
2012-06-30,11.11,$0.41,27.1
2012-03-31,11.31,$0.20,56.56
