Coursera PE Ratio Historical Data,Coursera PE Ratio Historical Data,Coursera PE Ratio Historical Data,Coursera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.64,,0.0
2024-06-30,7.16,$-0.63,0.0
2024-03-31,14.02,$-0.69,0.0
2023-12-31,19.37,$-0.77,0.0
2023-09-30,18.69,$-0.99,0.0
2023-06-30,13.02,$-1.03,0.0
2023-03-31,11.52,$-1.16,0.0
2022-12-31,11.83,$-1.21,0.0
2022-09-30,10.78,$-1.20,0.0
2022-06-30,14.18,$-1.18,0.0
2022-03-31,23.04,$-1.19,0.0
2021-12-31,24.44,$-1.37,0.0
