Arcutis Biotherapeutics PE Ratio Historical Data,Arcutis Biotherapeutics PE Ratio Historical Data,Arcutis Biotherapeutics PE Ratio Historical Data,Arcutis Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,9.49,,0.0
2024-06-30,9.3,$-2.19,0.0
2024-03-31,9.91,$-2.93,0.0
2023-12-31,3.23,$-3.92,0.0
2023-09-30,5.31,$-4.38,0.0
2023-06-30,9.53,$-5.54,0.0
2023-03-31,11.0,$-5.69,0.0
2022-12-31,14.8,$-5.65,0.0
2022-09-30,19.11,$-5.89,0.0
2022-06-30,21.31,$-5.14,0.0
2022-03-31,19.26,$-4.67,0.0
2021-12-31,20.74,$-4.16,0.0
2021-09-30,23.89,$-3.53,0.0
2021-06-30,27.29,$-3.40,0.0
2021-03-31,28.93,$-3.71,0.0
2020-12-31,28.13,$-3.89,0.0
