Vita Coco PE Ratio Historical Data,Vita Coco PE Ratio Historical Data,Vita Coco PE Ratio Historical Data,Vita Coco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.98,,31.16
2024-06-30,27.85,$0.93,29.95
2024-03-31,24.43,$0.92,26.55
2023-12-31,25.65,$0.80,32.06
2023-09-30,26.04,$0.64,40.69
2023-06-30,26.87,$0.51,52.69
2023-03-31,19.62,$0.22,89.18
2022-12-31,13.82,$0.14,98.71
2022-09-30,11.39,$0.13,87.62
