Orla Mining PE Ratio Historical Data,Orla Mining PE Ratio Historical Data,Orla Mining PE Ratio Historical Data,Orla Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.7,,0.0
2024-06-30,3.84,$-0.05,0.0
2024-03-31,3.79,$-0.08,0.0
2023-12-31,3.25,$-0.09,0.0
2023-09-30,3.57,$0.16,22.31
2023-06-30,4.2,$0.17,24.71
2023-03-31,4.75,$0.13,36.54
2022-12-31,4.04,$0.16,25.25
2022-09-30,3.26,$0.08,40.75
2022-06-30,2.75,$0.01,275.0
2022-03-31,4.79,$0.01,479.0
2021-12-31,3.82,$-0.11,0.0
