E2open Parent Holdings PE Ratio Historical Data,E2open Parent Holdings PE Ratio Historical Data,E2open Parent Holdings PE Ratio Historical Data,E2open Parent Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,3.19,,0.0
2024-08-31,4.48,$-2.57,0.0
2024-05-31,4.66,$-2.59,0.0
2024-02-29,4.23,$-3.54,0.0
2023-11-30,3.64,$-4.30,0.0
2023-08-31,4.83,$-2.08,0.0
2023-05-31,5.0,$-3.18,0.0
2023-02-28,6.2,$-2.14,0.0
2022-11-30,5.89,$-1.05,0.0
2022-08-31,6.87,$-1.26,0.0
2022-05-31,8.08,$-0.15,0.0
2022-02-28,8.98,$-0.87,0.0
2021-11-30,12.18,$-1.06,0.0
2021-08-31,11.94,$-0.87,0.0
2021-05-31,12.74,$-0.76,0.0
2021-02-28,9.26,0,0.0
2020-11-30,10.33,0,0.0
