Alignment Healthcare PE Ratio Historical Data,Alignment Healthcare PE Ratio Historical Data,Alignment Healthcare PE Ratio Historical Data,Alignment Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.43,,0.0
2024-06-30,7.82,$-0.82,0.0
2024-03-31,4.96,$-0.84,0.0
2023-12-31,8.61,$-0.79,0.0
2023-09-30,6.94,$-0.85,0.0
2023-06-30,5.75,$-0.88,0.0
2023-03-31,6.36,$-0.79,0.0
2022-12-31,11.76,$-0.82,0.0
2022-09-30,11.84,$-0.78,0.0
2022-06-30,11.41,$-0.82,0.0
2022-03-31,11.23,$-1.01,0.0
2021-12-31,14.06,$-1.15,0.0
