InMode PE Ratio Historical Data,InMode PE Ratio Historical Data,InMode PE Ratio Historical Data,InMode PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.21,,9.89
2024-06-30,18.24,$1.74,10.48
2024-03-31,21.61,$2.11,10.24
2023-12-31,22.24,$2.30,9.67
2023-09-30,30.46,$2.10,14.5
2023-06-30,37.35,$2.14,17.45
2023-03-31,31.96,$2.01,15.9
2022-12-31,35.7,$1.90,18.79
2022-09-30,29.11,$2.07,14.06
2022-06-30,22.41,$2.01,11.15
2022-03-31,36.91,$1.97,18.78
2021-12-31,70.58,$1.92,36.76
2021-09-30,79.73,$1.74,45.95
2021-06-30,47.34,$1.50,31.56
2021-03-31,36.19,$1.13,32.02
2020-12-31,23.74,$0.89,26.67
2020-09-30,18.09,$0.70,26.03
2020-06-30,14.16,$0.62,22.84
