Dole PE Ratio Historical Data,Dole PE Ratio Historical Data,Dole PE Ratio Historical Data,Dole PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.41,,7.17
2024-06-30,12.24,$2.29,5.34
2024-03-31,11.93,$1.89,6.31
2023-12-31,12.29,$1.30,9.45
2023-09-30,11.58,$1.14,10.16
2023-06-30,13.52,$1.08,12.52
2023-03-31,11.74,$1.07,10.97
2022-12-31,9.65,$0.91,10.6
2022-09-30,7.3,$0.80,9.13
2022-06-30,8.38,$0.69,12.15
