ESAB PE Ratio Historical Data,ESAB PE Ratio Historical Data,ESAB PE Ratio Historical Data,ESAB PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,112.5,,27.44
2024-06-30,94.43,$4.10,23.03
2024-03-31,110.57,$3.82,28.95
2023-12-31,86.62,$3.36,25.78
2023-09-30,70.22,$3.53,19.89
2023-06-30,66.54,$3.45,19.29
2023-03-31,59.07,$3.29,17.95
