ReNew Energy Global PE Ratio Historical Data,ReNew Energy Global PE Ratio Historical Data,ReNew Energy Global PE Ratio Historical Data,ReNew Energy Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.01,,200.33
2024-06-30,6.24,$0.03,208.0
2024-03-31,6.0,$0.12,50.0
2023-12-31,7.66,$0.10,76.6
2023-09-30,5.43,$0.05,108.6
2023-06-30,5.48,$-0.09,0.0
2023-03-31,5.62,$-0.18,0.0
2022-12-31,5.5,$-0.30,0.0
2022-09-30,6.02,$-0.35,0.0
2022-06-30,6.47,$-1.05,0.0
2022-03-31,8.22,$-1.05,0.0
2021-12-31,7.78,$-0.93,0.0
