Sendas Distribuidora S.A PE Ratio Historical Data,Sendas Distribuidora S.A PE Ratio Historical Data,Sendas Distribuidora S.A PE Ratio Historical Data,Sendas Distribuidora S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.31,,12.62
2024-06-30,9.3,$0.50,18.6
2024-03-31,14.78,$0.53,27.89
2023-12-31,13.82,$0.53,26.08
2023-09-30,12.18,$0.51,23.88
2023-06-30,14.41,$0.37,38.95
2023-03-31,15.4,$0.85,18.12
2022-09-30,16.13,$1.01,15.97
