MGE Energy Quarterly Net Income (Millions of US $),MGE Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$24
2024-03-31,$34
2023-12-31,$20
2023-09-30,$38
2023-06-30,$29
2023-03-31,$31
2022-12-31,$21
2022-09-30,$34
2022-06-30,$22
2022-03-31,$34
2021-12-31,$13
2021-09-30,$35
2021-06-30,$23
2021-03-31,$35
2020-12-31,$16
2020-09-30,$32
2020-06-30,$19
2020-03-31,$26
2019-12-31,$17
2019-09-30,$31
2019-06-30,$16
2019-03-31,$24
2018-12-31,$16
2018-09-30,$30
2018-06-30,$18
2018-03-31,$20
2017-12-31,$36
2017-09-30,$27
2017-06-30,$16
2017-03-31,$19
2016-12-31,$15
2016-09-30,$28
2016-06-30,$16
2016-03-31,$17
2015-12-31,$11
2015-09-30,$28
2015-06-30,$13
2015-03-31,$18
2014-12-31,$15
2014-09-30,$23
2014-06-30,$14
2014-03-31,$28
2013-12-31,$14
2013-09-30,$24
2013-06-30,$14
2013-03-31,$23
2012-12-31,$10
2012-09-30,$24
2012-06-30,$14
2012-03-31,$16
2011-12-31,$9
2011-09-30,$21
2011-06-30,$13
2011-03-31,$18
2010-12-31,$12
2010-09-30,$20
2010-06-30,$12
2010-03-31,$14
2009-12-31,$13
2009-09-30,$13
2009-06-30,$10
2009-03-31,$15
