J M Smucker Quarterly Net Income (Millions of US $),J M Smucker Quarterly Net Income (Millions of US $).1
2024-07-31,$185
2024-04-30,$245
2024-01-31,$120
2023-10-31,$195
2023-07-31,$184
2023-04-30,$-600
2023-01-31,$209
2022-10-31,$191
2022-07-31,$110
2022-04-30,$201
2022-01-31,$70
2021-10-31,$205
2021-07-31,$153
2021-04-30,$144
2021-01-31,$262
2020-10-31,$231
2020-07-31,$236
2020-04-30,$225
2020-01-31,$186
2019-10-31,$210
2019-07-31,$154
2019-04-30,$70
2019-01-31,$121
2018-10-31,$189
2018-07-31,$132
2018-04-30,$185
2018-01-31,$827
2017-10-31,$194
2017-07-31,$126
2017-04-30,$110
2017-01-31,$134
2016-10-31,$177
2016-07-31,$169
2016-04-30,$190
2016-01-31,$185
2015-10-31,$175
2015-07-31,$136
2015-04-30,$-90
2015-01-31,$160
2014-10-31,$157
2014-07-31,$115
2014-04-30,$118
2014-01-31,$166
2013-10-31,$152
2013-07-31,$126
2013-04-30,$129
2013-01-31,$153
2012-10-31,$148
2012-07-31,$110
2012-04-30,$103
2012-01-31,$116
2011-10-31,$126
2011-07-31,$110
2011-04-30,$94
2011-01-31,$131
2010-10-31,$148
2010-07-31,$102
2010-04-30,$120
2010-01-31,$134
2009-10-31,$139
2009-07-31,$97
2009-04-30,$94
2009-01-31,$77
