Ovintiv Quarterly Net Income (Millions of US $),Ovintiv Quarterly Net Income (Millions of US $).1
2024-06-30,$340
2024-03-31,$338
2023-12-31,$856
2023-09-30,$406
2023-06-30,$336
2023-03-31,$487
2022-12-31,"$1,335"
2022-09-30,"$1,186"
2022-06-30,"$1,357"
2022-03-31,$-241
2021-12-31,"$1,384"
2021-09-30,$-72
2021-06-30,$-205
2021-03-31,$309
2020-12-31,$-614
2020-09-30,"$-1,521"
2020-06-30,"$-4,383"
2020-03-31,$421
2019-12-31,$-6
2019-09-30,$149
2019-06-30,$336
2019-03-31,$-245
2018-12-31,"$1,030"
2018-09-30,$39
2018-06-30,$-151
2018-03-31,$151
2017-12-31,$-229
2017-09-30,$294
2017-06-30,$331
2017-03-31,$431
2016-12-31,$-281
2016-09-30,$317
2016-06-30,$-601
2016-03-31,$-379
2015-12-31,$-612
2015-09-30,"$-1,236"
2015-06-30,"$-1,610"
2015-03-31,"$-1,707"
2014-12-31,$198
2014-09-30,"$2,807"
2014-06-30,$271
2014-03-31,$116
2013-12-31,$-251
2013-09-30,$188
2013-06-30,$730
2013-03-31,$-431
2012-12-31,$-80
2012-09-30,"$-1,244"
2012-06-30,"$-1,482"
2012-03-31,$12
2011-12-31,$-246
2011-09-30,$120
2011-06-30,$176
2011-03-31,$78
2010-12-31,$-42
2010-09-30,$569
2010-06-30,$-505
2010-03-31,"$1,477"
2009-12-31,$636
2009-09-30,$25
2009-06-30,$239
2009-03-31,$962
