Warrior Met Coal Quarterly Net Income (Millions of US $),Warrior Met Coal Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$137
2023-12-31,$129
2023-09-30,$85
2023-06-30,$82
2023-03-31,$182
2022-12-31,$100
2022-09-30,$98
2022-06-30,$297
2022-03-31,$146
2021-12-31,$138
2021-09-30,$38
2021-06-30,$-5
2021-03-31,$-21
2020-12-31,$-34
2020-09-30,$-14
2020-06-30,$-9
2020-03-31,$22
2019-12-31,$21
2019-09-30,$45
2019-06-30,$125
2019-03-31,$110
2018-12-31,$374
2018-09-30,$53
2018-06-30,$91
2018-03-31,$179
2017-12-31,$97
2017-09-30,$120
2017-06-30,$130
2017-03-31,$108
2016-12-31,$34
2016-09-30,$-34
2016-06-30,$-50
2016-03-31,$-62
2015-12-31,
