James Hardie Industries Quarterly Net Income (Millions of US $),James Hardie Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$155
2024-03-31,$56
2023-12-31,$145
2023-09-30,$152
2023-06-30,$158
2023-03-31,$81
2022-12-31,$100
2022-09-30,$167
2022-06-30,$163
2022-03-31,$52
2021-12-31,$135
2021-09-30,$150
2021-06-30,$121
2021-03-31,$98
2020-12-31,$69
2020-09-30,$87
2020-06-30,$9
2020-03-31,$6
2019-12-31,$46
2019-09-30,$103
2019-06-30,$87
2019-03-31,$1
2018-12-31,$68
2018-09-30,$70
2018-06-30,$91
2018-03-31,$-58
2017-12-31,$80
2017-09-30,$66
2017-06-30,$57
2017-03-31,$45
2016-12-31,$88
2016-09-30,$57
2016-06-30,$87
2016-03-31,$29
2015-12-31,$25
2015-09-30,$130
2015-06-30,$60
2015-03-31,$28
2014-12-31,$108
2014-09-30,$127
2014-06-30,$29
2014-03-31,$-187
2013-12-31,$92
2013-09-30,$52
2013-06-30,$142
2013-03-31,$-70
2012-12-31,$32
2012-09-30,$15
2012-06-30,$69
2012-03-31,$481
2011-12-31,$-5
2011-09-30,$127
2011-06-30,$1
2011-03-31,$-2
2010-12-31,$-26
2010-09-30,$-424
2010-06-30,$105
2010-03-31,$-2
2009-12-31,$15
2009-09-30,$-20
2009-06-30,$-78
2009-03-31,$-130
