Affiliated Managers Quarterly Net Income (Millions of US $),Affiliated Managers Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$150
2023-12-31,$196
2023-09-30,$217
2023-06-30,$125
2023-03-31,$135
2022-12-31,$778
2022-09-30,$113
2022-06-30,$109
2022-03-31,$146
2021-12-31,$178
2021-09-30,$128
2021-06-30,$109
2021-03-31,$150
2020-12-31,$116
2020-09-30,$71
2020-06-30,$31
2020-03-31,$-16
2019-12-31,$23
2019-09-30,$86
2019-06-30,$108
2019-03-31,$-201
2018-12-31,$-151
2018-09-30,$125
2018-06-30,$117
2018-03-31,$153
2017-12-31,$315
2017-09-30,$125
2017-06-30,$126
2017-03-31,$123
2016-12-31,$150
2016-09-30,$110
2016-06-30,$108
2016-03-31,$104
2015-12-31,$145
2015-09-30,$108
2015-06-30,$129
2015-03-31,$128
2014-12-31,$154
2014-09-30,$103
2014-06-30,$99
2014-03-31,$77
2013-12-31,$158
2013-09-30,$75
2013-06-30,$65
2013-03-31,$62
2012-12-31,$75
2012-09-30,$55
2012-06-30,$7
2012-03-31,$37
2011-12-31,$40
2011-09-30,$40
2011-06-30,$46
2011-03-31,$39
2010-12-31,$62
2010-09-30,$34
2010-06-30,$25
2010-03-31,$18
2009-12-31,$25
2009-09-30,$18
2009-06-30,$11
2009-03-31,$6
