Pampa Energia S.A Quarterly Net Income (Millions of US $),Pampa Energia S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$99
2024-03-31,$268
2023-12-31,$-187
2023-09-30,$167
2023-06-30,$181
2023-03-31,$140
2022-12-31,$112
2022-09-30,$177
2022-06-30,$69
2022-03-31,$97
2021-12-31,$36
2021-09-30,$132
2021-06-30,$70
2021-03-31,$36
2020-12-31,$-463
2020-09-30,$84
2020-06-30,$4
2020-03-31,$14
2019-12-31,$9
2019-09-30,$166
2019-06-30,$400
2019-03-31,$167
2018-12-31,$414
2018-09-30,$-228
2018-06-30,$-115
2018-03-31,$153
2017-12-31,$152
2017-09-30,$74
2017-06-30,$-6
2017-03-31,$121
2016-12-31,$66
2016-09-30,$-62
2016-06-30,$-47
2016-03-31,$42
2015-12-31,$207
2015-09-30,$4
2015-06-30,$7
2015-03-31,$101
2014-12-31,$83
2014-09-30,$11
2014-06-30,$38
2014-03-31,$-49
2013-12-31,$-13
2013-09-30,$-27
2013-06-30,$169
2013-03-31,$-74
2012-12-31,$-53
2012-09-30,$-51
2012-06-30,$-22
2012-03-31,$-16
2011-12-31,$-159
2011-09-30,$-25
2011-06-30,$-22
2011-03-31,$4
2010-12-31,$9
2010-09-30,$0
2010-06-30,$-22
2010-03-31,$1
2009-12-31,$-10
2009-09-30,$15
