NRG Energy Quarterly Net Income (Millions of US $),NRG Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$721
2024-03-31,$494
2023-12-31,$466
2023-09-30,$326
2023-06-30,$291
2023-03-31,"$-1,339"
2022-12-31,"$-1,095"
2022-09-30,$67
2022-06-30,$513
2022-03-31,"$1,736"
2021-12-31,$-427
2021-09-30,"$1,618"
2021-06-30,"$1,078"
2021-03-31,$-82
2020-12-31,$-173
2020-09-30,$249
2020-06-30,$313
2020-03-31,$121
2019-12-31,"$3,383"
2019-09-30,$372
2019-06-30,$201
2019-03-31,$482
2018-12-31,$-11
2018-09-30,$-72
2018-06-30,$72
2018-03-31,$279
2017-12-31,"$-1,535"
2017-09-30,$171
2017-06-30,$-626
2017-03-31,$-163
2016-12-31,$-987
2016-09-30,$402
2016-06-30,$-193
2016-03-31,$77
2015-12-31,"$-6,319"
2015-09-30,$61
2015-06-30,$-19
2015-03-31,$-125
2014-12-31,$70
2014-09-30,$166
2014-06-30,$-100
2014-03-31,$-58
2013-12-31,$-299
2013-09-30,$117
2013-06-30,$121
2013-03-31,$-334
2012-12-31,$250
2012-09-30,$-3
2012-06-30,$248
2012-03-31,$-209
2011-12-31,$-111
2011-09-30,$-57
2011-06-30,$618
2011-03-31,$-262
2010-12-31,$-17
2010-09-30,$221
2010-06-30,$208
2010-03-31,$56
2009-12-31,$21
2009-09-30,$278
2009-06-30,$426
2009-03-31,$184
