Tilray Brands Quarterly Net Income (Millions of US $),Tilray Brands Quarterly Net Income (Millions of US $).1
2024-08-31,$-39
2024-05-31,$-32
2024-02-29,$-93
2023-11-30,$-49
2023-08-31,$-72
2023-05-31,$-139
2023-02-28,"$-1,171"
2022-11-30,$-69
2022-08-31,$-73
2022-05-31,$-478
2022-02-28,$43
2021-11-30,$-0
2021-08-31,$-42
2021-05-31,$-10
2021-03-31,$-341
2021-02-28,$-274
2020-12-31,
2020-11-30,$-100
2020-09-30,$-2
2020-08-31,$-34
2020-06-30,$-82
2020-03-31,$-184
2019-12-31,
2019-09-30,$-36
2019-06-30,$-36
2019-03-31,$-29
2018-12-31,$-58
2018-09-30,$-19
2018-06-30,$-13
2018-03-31,$-5
2018-02-28,$-5
2017-12-31,
2017-11-30,$-2
2017-09-30,$-2
2017-08-31,$-2
2017-06-30,$-2
2017-05-31,
2017-03-31,$-1
2017-02-28,$-1
2016-11-30,
