Adecoagro S.A Quarterly Net Income (Millions of US $),Adecoagro S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$47
2023-12-31,$83
2023-09-30,$76
2023-06-30,$46
2023-03-31,$22
2022-12-31,$3
2022-09-30,$23
2022-06-30,$19
2022-03-31,$63
2021-12-31,$59
2021-09-30,$37
2021-06-30,$17
2021-03-31,$18
2020-12-31,$47
2020-09-30,$20
2020-06-30,$-12
2020-03-31,$-55
2019-12-31,$10
2019-09-30,$-30
2019-06-30,$23
2019-03-31,$-3
2018-12-31,$-17
2018-09-30,$4
2018-06-30,$-22
2018-03-31,$9
2017-12-31,$6
2017-09-30,$-2
2017-06-30,$4
2017-03-31,$5
2016-12-31,$12
2016-09-30,$7
2016-06-30,$-18
2016-03-31,$2
2015-12-31,$0
2015-09-30,$16
2015-06-30,$-5
2015-03-31,$-7
2014-12-31,$-13
2014-09-30,$11
2014-06-30,$1
2014-03-31,$3
2013-12-31,$5
2013-09-30,$-6
2013-06-30,$-27
2013-03-31,$3
2012-12-31,$26
2012-09-30,$-3
2012-06-30,$-14
2012-03-31,$1
2011-12-31,$-1
2011-09-30,$30
2011-06-30,$12
2011-03-31,$15
2010-12-31,$44
2010-09-30,$-19
