Lennox Quarterly Net Income (Millions of US $),Lennox Quarterly Net Income (Millions of US $).1
2024-06-30,$246
2024-03-31,$124
2023-12-31,$145
2023-09-30,$130
2023-06-30,$217
2023-03-31,$98
2022-12-31,$94
2022-09-30,$142
2022-06-30,$177
2022-03-31,$84
2021-12-31,$84
2021-09-30,$126
2021-06-30,$170
2021-03-31,$84
2020-12-31,$112
2020-09-30,$132
2020-06-30,$100
2020-03-31,$13
2019-12-31,$114
2019-09-30,$115
2019-06-30,$111
2019-03-31,$69
2018-12-31,$76
2018-09-30,$108
2018-06-30,$138
2018-03-31,$38
2017-12-31,$43
2017-09-30,$104
2017-06-30,$116
2017-03-31,$44
2016-12-31,$41
2016-09-30,$102
2016-06-30,$111
2016-03-31,$25
2015-12-31,$11
2015-09-30,$80
2015-06-30,$81
2015-03-31,$14
2014-12-31,$45
2014-09-30,$67
2014-06-30,$74
2014-03-31,$20
2013-12-31,$35
2013-09-30,$64
2013-06-30,$64
2013-03-31,$8
2012-12-31,$22
2012-09-30,$29
2012-06-30,$45
2012-03-31,$-6
2011-12-31,$17
2011-09-30,$34
2011-06-30,$45
2011-03-31,$-7
2010-12-31,$28
2010-09-30,$42
2010-06-30,$48
2010-03-31,$-2
2009-12-31,$7
2009-09-30,$31
2009-06-30,$32
2009-03-31,$-18
