Autolus Therapeutics Quarterly Net Income (Millions of US $),Autolus Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$-58
2024-03-31,$-53
2023-12-31,$-77
2023-09-30,$-46
2023-06-30,$-46
2023-03-31,$-40
2022-12-31,$-27
2022-09-30,$-43
2022-06-30,$-42
2022-03-31,$-37
2021-12-31,$-42
2021-09-30,$-34
2021-06-30,$-33
2021-03-31,$-33
2020-12-31,$-43
2020-09-30,$-37
2020-06-30,$-32
2020-03-31,$-30
2019-12-31,$-41
2019-09-30,$-27
2019-06-30,$-28
2019-03-31,$-27
2018-12-31,$-21
2018-09-30,$-13
2018-06-30,$-8
2018-03-31,$-17
2017-09-30,
