Prospect Capital Quarterly Net Income (Millions of US $),Prospect Capital Quarterly Net Income (Millions of US $).1
2024-06-30,$-9
2024-03-31,$114
2023-12-31,$-51
2023-09-30,$94
2023-06-30,$-14
2023-03-31,$-109
2022-12-31,$56
2022-09-30,$-105
2022-06-30,$-57
2022-03-31,$157
2021-12-31,$246
2021-09-30,$210
2021-06-30,$242
2021-03-31,$246
2020-12-31,$306
2020-09-30,$168
2020-06-30,$163
2020-03-31,$-186
2019-12-31,$-11
2019-09-30,$18
2019-06-30,$39
2019-03-31,$89
2018-12-31,$-67
2018-09-30,$84
2018-06-30,$114
2018-03-31,$52
2017-12-31,$122
2017-09-30,$12
2017-06-30,$51
2017-03-31,$19
2016-12-31,$101
2016-09-30,$81
2016-06-30,$95
2016-03-31,$76
2015-12-31,$-95
2015-09-30,$28
2015-06-30,$95
2015-03-31,$81
2014-12-31,$86
2014-09-30,$84
2014-06-30,$72
2014-03-31,$82
2013-12-31,$85
2013-09-30,$80
2013-06-30,$83
2013-03-31,$44
2012-12-31,$46
2012-09-30,$47
2012-06-30,$36
2012-03-31,$50
2011-12-31,$64
2011-09-30,$40
2011-06-30,$27
2011-03-31,$34
2010-12-31,$32
2010-09-30,$26
2010-06-30,$15
2010-03-31,$26
2009-12-31,$-15
2009-09-30,$-6
2009-06-30,$-1
2009-03-31,$15
